Name,EXPT,Kept
Molecule211,-5.16,1
Molecule212,-3.74,1
Molecule213,-3.68,1
Molecule214,-3.89,1
Molecule215,-3.18,1
Molecule216,-1.87,1
Molecule217,-3.24,1
Molecule218,-4.26,1
Molecule219,-3.76,1
Molecule220,-3.77,1
Molecule221,-3.27,1
Molecule222,-2.55,1
Molecule223,-2.73,1
Molecule224,-4.28,1
Molecule225,-3.65,1
Molecule226,-4.8,1
Molecule227,-5.26,0
Molecule228,-6.8,0
Molecule229,-4.61,1
Molecule230,-2.88,1
Molecule231,-2.52,1
Molecule232,-3.93,1
Molecule233,-2.61,1
Molecule234,-6.29,0
Molecule235,-6.29,0
Molecule236,-7.33,0
Molecule237,-6.86,0
Molecule238,-5.64,0
Molecule239,-6.32,0
Molecule240,-5.46,0
Molecule241,-5.43,0
Molecule242,-4.98,1
Molecule243,-11.62,0
Molecule244,-10.26,0
Molecule245,-10.41,0
Molecule246,-7.92,0
Molecule247,-8.94,0
Molecule248,-7.92,0
Molecule249,-4.28,0
Molecule250,-5.64,0
Molecule251,-4.02,0
Molecule252,-8.3,0
Molecule253,-7.92,0
Molecule254,-7.43,0
Molecule255,-7.66,0
Molecule256,-3.1,0
Molecule257,-1.7,1
Molecule258,-9.16,0
Molecule259,-8.42,0
Molecule260,-7.39,0
Molecule261,-7.68,0
Molecule262,-7.21,0
Molecule263,-7.82,0
Molecule264,-7.16,0
Molecule265,-5.65,0
Molecule266,-3.15,0
Molecule267,-8.71,0
Molecule268,-7.32,0
Molecule269,-6.14,1
Molecule270,-2.34,1
Molecule271,-8.01,0
Molecule272,-7.05,0
Molecule273,-8.32,0
Molecule274,-7.8,0
Molecule275,-7.91,0
Molecule276,-7.05,0
Molecule277,-4.57,0
Molecule278,-2.67,1
Molecule279,-6.8,0
Molecule280,-7.39,0
Molecule281,-6.14,1
Molecule282,-5.21,1
Molecule283,-2.1,1
Molecule284,-4.24,1
Molecule285,-1.79,1
Molecule286,-2.62,1
Molecule287,-3.78,1
Molecule288,-3.29,1
Molecule289,-3.05,1
Molecule290,-9.15,0
Molecule291,-8.6,0
Molecule292,-7.42,0
Molecule293,-3.37,0
Molecule294,-8.56,0
Molecule295,-7.89,0
Molecule296,-7.39,0
Molecule297,-6.27,1
Molecule298,-5.56,0
Molecule299,-4.52,0
Molecule300,-2.96,1
Molecule301,-5.69,1
Molecule302,-2.21,1
Molecule303,-5.75,1
Molecule304,-5.72,1
Molecule305,-3.18,1
Molecule306,-3.66,1
Molecule307,-2.53,1
Molecule308,-3.79,1
Molecule309,-8.6,0
Molecule310,-8.71,0
Molecule311,-2.8,1
Molecule312,-4.63,0
Molecule313,-3.26,1
Molecule314,-2.47,1
Molecule315,-2.67,1
Molecule316,-3.45,1
Molecule317,-7,0
Molecule318,-6.02,1
Molecule319,-6.01,1
Molecule320,-6.25,1
Molecule321,-3.59,1
Molecule322,-1.57,1
Molecule323,-8.65,0
Molecule324,-8.65,0
Molecule325,-7.43,0
Molecule326,-6.29,1
Molecule327,-3.08,1
Molecule328,-2.64,1
Molecule329,-7.8,0
Molecule330,-7.25,0
Molecule331,-6.29,1
Molecule332,-4.92,1
Molecule333,-6.39,1
Molecule334,-6.51,0
Molecule335,-6.57,0
Molecule336,-6.21,1
Molecule337,-5.25,1
Molecule338,-3.49,1
Molecule339,-3.59,1
Molecule340,-4.46,1
Molecule341,-3.67,1
Molecule342,-2.51,1
Molecule343,-2.45,1
Molecule344,-1.55,1
Molecule345,-2.82,1
Molecule346,-3.24,1
Molecule347,-3,1
Molecule348,-4.77,1
Molecule349,-3.46,1
Molecule350,-3.8,1
Molecule351,-4.33,1
Molecule352,-2.56,1
Molecule353,-3.52,1
Molecule354,-1.25,1
Molecule355,-7.28,0
Molecule356,-7.21,0
Molecule357,-6.47,0
Molecule358,-6.26,1
Molecule359,-4,1
Molecule360,-1.3,1
Molecule361,-5.27,1
Molecule362,-5.28,1
Molecule363,-4.54,1
Molecule364,-4.08,1
Molecule365,-3.6,1
Molecule366,-6.36,0
Molecule367,-2.34,1
Molecule368,-3.52,1
Molecule369,-3.05,1
Molecule370,-4.38,1
Molecule371,-1.89,1
Molecule372,-1.52,1
Molecule373,-1.4,1
Molecule374,-2.16,1
Molecule375,-2.46,1
Molecule376,-2.22,1
Molecule377,-1.06,1
Molecule378,-4.18,1
Molecule379,-4.18,1
Molecule380,-4.14,1
Molecule381,-3.75,1
Molecule382,-5.23,1
Molecule383,-5.36,1
Molecule384,-3.95,1
Molecule385,-2.83,1
Molecule386,-4.7,1
Molecule387,-4.16,1
Molecule388,-4.4,1
Molecule389,-5.01,1
Molecule390,-4.57,1
Molecule391,-2.86,1
Molecule392,-2.86,1
Molecule393,-2.23,1
Molecule394,-5.09,1
Molecule395,-2.55,1
Molecule396,-3.95,1
Molecule397,-4.48,1
Molecule398,-4.8,1
Molecule399,-4.38,1
Molecule400,-4.93,1
Molecule401,-1.34,1
Molecule402,-5.8,1
Molecule403,-4.88,1
Molecule404,-3.04,1
Molecule405,-4.53,1
Molecule406,-2.59,1
Molecule407,-1.37,1
Molecule408,-2.62,1
Molecule409,-3.38,1
Molecule410,-2.78,1
Molecule411,-2.22,1
Molecule412,-0.7,1
Molecule413,-6.56,1
Molecule414,-5.2,1
Molecule415,-5.93,1
Molecule416,-6.9,0
Molecule417,-5.91,1
Molecule418,-3.08,1
Molecule419,-5.84,1
Molecule420,-3.27,1
Molecule421,-4.53,1
Molecule422,-4.62,1
Molecule423,-3.31,1
Molecule424,-4.43,1
Molecule425,-1.66,1
Molecule426,-2.84,1
Molecule427,-2.89,1
Molecule428,-3.9,1
Molecule429,-2.57,1
Molecule430,-4.89,1
Molecule431,-2.29,1
Molecule432,-2.78,1
Molecule433,-3.61,1
Molecule434,-0.7,1
Molecule435,-5.74,1
Molecule436,-3.03,1
Molecule437,-2.38,1
Molecule438,-7.28,0
Molecule439,-5.18,0
Molecule440,-2.08,1
Molecule441,-4.51,0
Molecule442,-4.11,1
Molecule443,-0.87,1
Molecule444,-0.87,1
Molecule445,-2.75,1
Molecule446,-5.67,1
Molecule447,-4.82,1
Molecule448,-4.58,1
Molecule449,-4.41,1
Molecule450,-4.06,1
Molecule451,-3.15,1
Molecule452,-4.55,1
Molecule453,-3.85,1
Molecule454,-3.79,1
Molecule455,-4.43,1
Molecule456,-1.72,1
Molecule457,-3.66,1
Molecule458,-4.95,1
Molecule459,-5.38,1
Molecule460,-5.38,1
Molecule461,-2.87,1
Molecule462,-2.48,1
Molecule463,-4.91,0
Molecule464,-4.88,1
Molecule465,-4.23,0
Molecule466,-2.54,0
Molecule467,-3.39,1
Molecule468,-2.51,1
Molecule469,-1.64,1
Molecule470,-6.29,1
Molecule471,-8.02,1
Molecule472,-2.69,1
Molecule473,-1.96,1
Molecule474,-1.84,1
Molecule475,-3.76,0
Molecule476,-3.67,0
Molecule477,-2.18,0
Molecule478,-2,1
Molecule479,-6.62,0
Molecule480,-7.15,0
Molecule481,-6.89,1
Molecule482,-2.6,0
Molecule483,-4.19,0
Molecule484,-4.19,0
Molecule485,-0.22,1
Molecule486,-2.31,0
Molecule487,-2.17,1
Molecule488,-5.67,0
Molecule489,-5.4,0
Molecule490,-2.39,1
Molecule491,-4.37,1
Molecule492,-3.99,1
Molecule493,-3.12,1
Molecule494,-2.73,1
Molecule495,-2.03,1
Molecule496,-1.62,1
Molecule497,-1.47,1
Molecule498,-1.06,1
Molecule499,-0.29,1
Molecule500,-1.12,1
Molecule501,-1.16,1
Molecule502,-1.5,1
Molecule503,-1.06,1
Molecule504,-1.36,1
Molecule505,-2,1
Molecule506,-0.11,1
Molecule507,-6.34,1
Molecule508,-0.63,1
Molecule509,-0.09,1
Molecule510,-4.19,1
Molecule511,-3.26,1
Molecule512,-2.73,1
Molecule513,-2.48,1
Molecule514,-0.02,1
Molecule515,0.93,1
Molecule516,-1.5,1
Molecule517,-1.75,1
Molecule518,-3.77,1
Molecule519,-2.63,1
Molecule520,-2.63,1
Molecule521,-1.96,1
Molecule522,-1.92,1
Molecule523,-1.6,1
Molecule524,-1.41,1
Molecule525,-2.7,1
Molecule526,-2.68,1
Molecule527,-2.4,1
Molecule528,-1.48,1
Molecule529,-5.03,1
Molecule530,-1.29,1
Molecule531,-6.51,0
Molecule532,-7.2,0
Molecule533,-1.74,0
Molecule534,-1.17,1
Molecule535,-1.62,1
Molecule536,-5.03,1
Molecule537,-2.15,1
Molecule538,-1.3,1
Molecule539,-1.3,1
Molecule540,0.52,1
Molecule541,-4.08,1
Molecule542,-2.6,1
Molecule543,-7.28,0
Molecule544,-6.02,1
Molecule545,-2.38,0
Molecule546,-2.31,0
Molecule547,-7.34,1
Molecule548,-4.49,1
Molecule549,-1.8,1
Molecule550,-3.37,1
Molecule551,-4.32,1
Molecule552,-3.43,1
Molecule553,-4.1,1
Molecule554,-4.71,1
Molecule555,-4.9,1
Molecule556,-4.9,1
Molecule557,-3.64,1
Molecule558,-5.61,1
Molecule559,-4.13,1
Molecule560,-3.69,1
Molecule561,-2,1
Molecule562,-2.54,1
Molecule563,-4.43,1
Molecule564,-1.97,1
Molecule565,-1.78,1
Molecule566,-1.8,1
Molecule567,-1.07,1
Molecule568,-0.97,1
Molecule569,-3.04,1
Molecule570,-3.12,0
Molecule571,-4.21,1
Molecule572,-3.59,1
Molecule573,-1.6,1
Molecule574,-4.15,1
Molecule575,-4.52,1
Molecule576,-5.3,1
Molecule577,-8,1
Molecule578,-4.44,1
Molecule579,-8.4,1
Molecule580,-4.05,1
Molecule581,-4.04,1
Molecule582,-1.47,1
Molecule583,-4.36,1
Molecule584,-4.17,1
Molecule585,-3.43,1
Molecule586,-2.51,1
Molecule587,0.3,1
Molecule588,-7.32,0
Molecule589,-8.18,1
Molecule590,-3.24,1
Molecule591,-3.8,1
Molecule592,-4.8,1
Molecule593,-6.88,1
Molecule594,-4.55,1
Molecule595,-5.22,1
Molecule596,-2.86,1
Molecule597,-3.61,1
Molecule598,-3.31,1
Molecule599,-6.62,1
Molecule600,-3.54,1
Molecule601,-4.21,1
Molecule602,-2.73,1
Molecule603,-3.55,1
Molecule604,-3.27,1
Molecule605,-4.56,1
Molecule606,-4.03,1
Molecule607,-3.13,1
Molecule608,-3.25,1
Molecule609,-2.78,1
Molecule610,-3.46,0
Molecule611,-3.46,0
Molecule612,-4.81,1
Molecule613,-2.96,1
Molecule614,-2.29,1
Molecule615,-0.43,1
Molecule616,-1.6,1
Molecule617,-2.34,1
Molecule618,-1,1
Molecule619,-2.09,1
Molecule620,-3.22,1
Molecule621,-3.22,1
Molecule622,-1.32,1
Molecule623,-1.99,1
Molecule624,-2.68,1
Molecule625,-3.97,1
Molecule626,-2.78,1
Molecule627,-3.36,1
Molecule628,-5.54,1
Molecule629,-5.54,1
Molecule630,-1.94,1
Molecule631,-1.2,1
Molecule632,-2.54,1
Molecule633,-1.87,1
Molecule634,-3.67,1
Molecule635,-3.04,1
Molecule636,-2.16,1
Molecule637,-5.4,1
Molecule638,-1.94,1
Molecule639,-3.93,1
Molecule640,-2.42,1
Molecule641,-1.3,1
Molecule642,-4.19,1
Molecule643,-3.66,1
Molecule644,-4.75,1
Molecule645,-3.68,1
Molecule646,-3.67,1
Molecule647,-2.68,1
Molecule648,-2.09,1
Molecule649,-2.09,1
Molecule650,-3.32,1
Molecule651,-3.32,1
Molecule652,-1.52,1
Molecule653,-3.28,1
Molecule654,-1.87,1
Molecule655,-2.82,1
Molecule656,-0.48,1
Molecule657,-1.91,1
Molecule658,-2.23,1
Molecule659,-0.02,1
Molecule660,-4.55,1
Molecule661,-3.36,1
Molecule662,0.06,1
Molecule663,-0.91,1
Molecule664,-3.19,1
Molecule665,-3.32,1
Molecule666,-4.87,1
Molecule667,-5.15,1
Molecule668,-2.86,1
Molecule669,-2.62,1
Molecule670,-0.12,1
Molecule671,-1.11,1
Molecule672,-1.95,1
Molecule673,0.02,1
Molecule674,-0.47,1
Molecule675,-1.11,1
Molecule676,0.06,1
Molecule677,-1.14,1
Molecule678,-1.95,1
Molecule679,-1.23,1
Molecule680,-1.39,1
Molecule681,-3.68,1
Molecule682,-2.68,1
Molecule683,0.38,1
Molecule684,0.38,1
Molecule685,0.4,1
Molecule686,0.45,1
Molecule687,-1.42,1
Molecule688,0.51,1
Molecule689,1.02,1
Molecule690,-3.14,1
Molecule691,-4.11,1
Molecule692,-1.89,1
Molecule693,1,1
Molecule694,-1.42,1
Molecule695,0.23,1
Molecule696,-3.46,1
Molecule697,-3.46,1
Molecule698,-0.17,1
Molecule699,-2.07,1
Molecule700,0.81,1
Molecule701,-3.64,1
Molecule702,-2.15,1
Molecule703,-2.98,1
Molecule704,1,1
Molecule705,0.72,1
Molecule706,-1.45,1
Molecule707,-1.89,1
Molecule708,0.36,1
Molecule709,0.38,1
Molecule710,0.96,1
Molecule711,-0.46,1
Molecule712,-0.84,1
Molecule713,-0.46,1
Molecule714,0.79,1
Molecule715,-1.55,1
Molecule716,-2.63,1
Molecule717,-2.76,1
Molecule718,-3.07,1
Molecule719,-1.54,1
Molecule720,1.02,1
Molecule721,0.76,1
Molecule722,-0.17,1
Molecule723,-0.97,1
Molecule724,-2.52,1
Molecule725,-1.23,1
Molecule726,-4.74,1
Molecule727,-2.6,1
Molecule728,1.1,1
Molecule729,-1.16,1
Molecule730,-3.37,1
Molecule731,0.96,1
Molecule732,-0.8,1
Molecule733,-4.88,1
Molecule734,-4.59,1
Molecule735,-1.56,1
Molecule736,-2.23,1
Molecule737,-2.74,1
Molecule738,-2.92,1
Molecule739,-7.42,1
Molecule740,-4.97,1
Molecule741,-2.57,1
Molecule742,-1.23,1
Molecule743,-2.07,1
Molecule744,-2.42,1
Molecule745,-1.52,1
Molecule746,-2.14,1
Molecule747,-2.12,1
Molecule748,-3.93,1
Molecule749,-2.61,1
Molecule750,-3.93,1
Molecule751,-2.93,1
Molecule752,-2.34,1
Molecule753,0.3,1
Molecule754,-1.13,1
Molecule755,-6.52,1
Molecule756,-6.3,1
Molecule757,-5.89,1
Molecule758,-4.68,1
Molecule759,-5.07,1
Molecule760,-4.91,1
Molecule761,-4.47,1
Molecule762,-4.1,1
Molecule763,0.36,1
Molecule764,-1.04,1
Molecule765,1.07,1
Molecule766,1.15,1
Molecule767,1.07,1
Molecule768,1.07,1
Molecule769,-2.6,1
Molecule770,1.06,1
Molecule771,-0.4,1
Molecule772,-0.83,1
Molecule773,-2.64,1
Molecule774,-1.5,1
Molecule775,-1.5,1
Molecule776,-0.45,1
Molecule777,0.74,1
Molecule778,0.49,1
Molecule779,-0.17,1
Molecule780,-1.61,1
Molecule781,-0.06,1
Molecule782,-1.6,1
Molecule783,-1.39,1
Molecule784,-2.29,1
Molecule785,-3.58,1
Molecule786,-2.12,1
Molecule787,-3.4,1
Molecule788,-0.53,1
Molecule789,-1.96,1
Molecule790,-1.96,1
Molecule791,-1.52,1
Molecule792,-1.46,1
Molecule793,-2.29,1
Molecule794,0.59,1
Molecule795,-1.48,1
Molecule796,-1.14,1
Molecule797,-3.88,1
Molecule798,-3.36,1
Molecule799,-1.96,1
Molecule800,-0.4,1
Molecule801,-1.89,1
Molecule802,-1.65,1
Molecule803,-2.35,1
Molecule804,-3.06,1
Molecule805,-3.17,1
Molecule806,-2.98,1
Molecule807,-1.64,1
Molecule808,-2.57,1
Molecule809,-2.32,1
Molecule810,-2.64,1
Molecule811,-2.7,1
Molecule812,-2.17,1
Molecule813,-3,1
Molecule814,-1.39,1
Molecule815,-2.25,1
Molecule816,-1.61,1
Molecule817,-1.23,1
Molecule818,-2.18,1
Molecule819,-2.06,1
Molecule820,-1.16,1
Molecule821,-1.74,1
Molecule822,-2.52,1
Molecule823,-2.36,1
Molecule824,-2.39,1
Molecule825,-2.02,1
Molecule826,-2.21,1
Molecule827,-2.59,1
Molecule828,-1.71,1
Molecule829,-2.77,1
Molecule830,-1.99,1
Molecule831,-1.25,1
Molecule832,-3.03,1
Molecule833,-1.26,1
Molecule834,-1.93,1
Molecule835,-2.16,1
Molecule836,-2.38,1
Molecule837,-2.27,1
Molecule838,0.52,1
Molecule839,-0.78,1
Molecule840,-3.54,1
Molecule841,-3.73,1
Molecule842,-3.81,1
Molecule843,-3.27,1
Molecule844,-2.09,1
Molecule845,0.71,1
Molecule846,-0.63,1
Molecule847,-0.62,1
Molecule848,1.1,1
Molecule849,-5.51,1
Molecule850,-0.07,1
Molecule851,-3.54,1
Molecule852,-5.82,0
Molecule853,-4.47,1
Molecule854,-5.47,1
Molecule855,-5.53,1
Molecule856,-5.68,1
Molecule857,-6.78,0
Molecule858,-6.12,1
Molecule859,-6.49,1
Molecule860,-1.46,1
Molecule861,-3.38,1
Molecule862,-3.22,1
Molecule863,-5.16,1
Molecule864,-3.48,1
Molecule865,-3,1
Molecule866,-4.04,1
Molecule867,-2.82,1
Molecule868,-4.76,1
Molecule869,-2.33,1
Molecule870,-2.55,1
Molecule871,-3.1,1
Molecule872,-1.96,1
Molecule873,-1.91,1
Molecule874,-1.96,1
Molecule875,-1.74,1
Molecule876,-3.8,1
Molecule877,-3.5,1
Molecule878,-3.8,1
Molecule879,-3.2,1
Molecule880,-4.7,1
Molecule881,-4.31,1
Molecule882,-2.89,1
Molecule883,-2.44,1
Molecule884,-2.77,1
Molecule885,-1.68,1
Molecule886,-2.29,1
Molecule887,-2.19,1
Molecule888,-1.01,1
Molecule889,-2.49,1
Molecule890,-2.11,1
Molecule891,-2.92,1
Molecule892,-2.8,1
Molecule893,-3.39,1
Molecule894,-2.37,1
Molecule895,-2.69,1
Molecule896,-5.46,1
Molecule897,-2.41,1
Molecule898,-0.74,1
Molecule899,-4.66,1
Molecule900,-3.68,1
Molecule901,-1.8,1
Molecule902,-2.28,1
Molecule903,-2.81,1
Molecule904,-1.26,1
Molecule905,-2.19,1
Molecule906,-3.38,1
Molecule907,-2.19,1
Molecule908,-3.22,1
Molecule909,-2,1
Molecule910,-0.8,1
Molecule911,-0.22,1
Molecule912,0.26,1
Molecule913,-0.62,1
Molecule914,-1.37,1
Molecule915,-2.63,1
Molecule916,-2.22,1
Molecule917,-4.61,1
Molecule918,-4.61,1
Molecule919,-2.16,1
Molecule920,-2.38,1
Molecule921,0.59,1
Molecule922,-3.12,1
Molecule923,-1.42,1
Molecule924,-3.14,1
Molecule925,-2.87,1
Molecule926,-2.38,1
Molecule927,-1,1
Molecule928,0.28,1
Molecule929,-0.96,1
Molecule930,-0.96,1
Molecule931,0.26,1
Molecule932,0.15,1
Molecule933,-0.77,1
Molecule934,-6.03,1
Molecule935,-3.12,1
Molecule936,-2.28,1
Molecule937,-4.46,1
Molecule938,-3.4,1
Molecule939,-3.4,1
Molecule940,-2.64,1
Molecule941,-3.7,1
Molecule942,-1.4,1
Molecule943,-3.84,1
Molecule944,-2.71,1
Molecule945,-0.73,1
Molecule946,-3.84,1
Molecule947,-3.03,1
Molecule948,-0.14,1
Molecule949,-1.76,1
Molecule950,-3.57,1
Molecule951,-0.95,1
Molecule952,-3.35,1
Molecule953,-2.36,1
Molecule954,-1.92,1
Molecule955,-2.24,1
Molecule956,-1.95,1
Molecule957,-3.36,1
Molecule958,0.84,1
Molecule959,-2.34,1
Molecule960,-2.34,1
Molecule961,1.11,1
Molecule962,-2.98,1
Molecule963,0.94,1
Molecule964,-2.93,1
Molecule965,-3.54,1
Molecule966,-4.16,1
Molecule967,-1.6,1
Molecule968,-0.85,1
Molecule969,-5.47,1
Molecule970,-5.47,1
Molecule971,-1.6,1
Molecule972,-6.2,1
Molecule973,-1.92,1
Molecule974,-4.22,1
Molecule975,-2.35,1
Molecule976,-0.85,1
Molecule977,-1.52,1
Molecule978,-0.42,1
Molecule979,-0.72,1
Molecule980,-5.17,1
Molecule981,-0.85,1
Molecule982,-1.28,1
Molecule983,-2.7,1
Molecule984,-2.3,1
Molecule985,-1.21,1
Molecule986,-2.63,1
Molecule987,-1.61,1
Molecule988,-5.4,1
Molecule989,-4.6,1
Molecule990,-3.95,1
Molecule991,-3.26,1
Molecule992,-3.08,1
Molecule993,-2.33,1
Molecule994,-2.62,1
Molecule995,-1.59,1
Molecule996,-0.4,1
Molecule997,-0.38,1
Molecule998,-0.8,1
Molecule999,-0.41,1
Molecule1000,-3.21,1
Molecule1001,-3.21,1
Molecule1002,-2.4,1
Molecule1003,-2.1,1
Molecule1004,-2.86,1
Molecule1005,-1.28,1
Molecule1006,-2.12,1
Molecule1007,-1.53,1
Molecule1008,-1.12,1
Molecule1009,-2.7,1
Molecule1010,-2.75,1
Molecule1011,-1.85,1
Molecule1012,-1.1,1
Molecule1013,-1.71,1
Molecule1014,-0.48,1
Molecule1015,-1.6,1
Molecule1016,-2.57,1
Molecule1017,-1.23,1
Molecule1018,-0.55,1
Molecule1019,0.31,1
Molecule1020,-0.74,1
Molecule1021,1.08,1
Molecule1022,-0.09,1
Molecule1023,-0.31,1
Molecule1024,-2.92,1
Molecule1025,-1.76,1
Molecule1026,-0.96,1
Molecule1027,0.61,1
Molecule1028,-0.91,1
Molecule1029,1.58,1
Molecule1030,0.96,1
Molecule1031,0.96,1
Molecule1032,0.1,1
Molecule1033,-0.35,1
Molecule1034,-1.67,1
Molecule1035,-0.8,1
Molecule1036,-3.3,1
Molecule1037,-2.62,1
Molecule1038,-1.92,1
Molecule1039,-1.47,1
Molecule1040,-0.66,1
Molecule1041,0.85,1
Molecule1042,-0.3,1
Molecule1043,-0.99,1
Molecule1044,0.97,1
Molecule1045,-3.78,1
Molecule1046,-2.24,1
Molecule1047,-2.09,1
Molecule1048,-4.8,1
Molecule1049,-4.63,1
Molecule1050,-1.58,1
Molecule1051,-0.98,1
Molecule1052,-2.37,1
Molecule1053,-2.17,1
Molecule1054,-1.3,1
Molecule1055,-1.91,1
Molecule1056,-1.03,1
Molecule1057,-3.51,1
Molecule1058,-0.68,1
Molecule1059,-3.59,1
Molecule1060,-3.3,1
Molecule1061,-2.56,1
Molecule1062,-1.92,1
Molecule1063,-1.33,1
Molecule1064,-3.15,1
Molecule1065,-3.01,1
Molecule1066,-2.36,1
Molecule1067,-4.11,1
Molecule1068,-0.5,1
Molecule1069,-3.24,1
Molecule1070,-1.22,1
Molecule1071,-0.95,1
Molecule1072,-1.44,1
Molecule1073,-0.46,1
Molecule1074,-4.7,1
Molecule1075,-3.27,1
Molecule1076,-1.7,1
