ChemSpider,SMILES,original_format_type,Protein Binding Number,units,Reference,Measurement_type,is_open,is_predicted
16743716,CCC(C)C(C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(CCC(=O)N)C(=O)NC(CC(=O)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(Cc1c[nH]c2c1cccc2)C(=O)NC(C)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(Cc3c[nH]c4c3cccc4)C(=O)NC(CC(=O)N)C(=O)NC(Cc5c[nH]c6c5cccc6)C(=O)NC(Cc7ccccc7)C(=O)N)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(Cc8cnc[nH]8)NC(=O)C(C(C)CC)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(Cc9ccc(cc9)O)NC(=O)C,% bound,92,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
10189562,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,% bound,25,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
118219,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,% bound,99.9,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
6501,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,% bound,60,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
1098,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,% bound,92,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
4444351,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,% bound,99.8,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
5815,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,% bound,70,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
1025,CC1=NC=C(CO)C(CO)=C1O,% bound,22,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
4444353,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,% bound,65,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
49398,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,% bound,50,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
3287,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F,% bound,80,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
54833,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,% bound,96,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
4514937,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,% bound,73,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
74144,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,% bound,40,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
2197,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,% bound,30,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
13852819,CC(N)CC1=CC=CC=C1,% bound,28,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
917,CN1CCCC1C1=CN=CC=C1,% bound,5,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
75707,CC1O[C@@]2(CS1)CN1CCC2CC1,% bound,20,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
3821,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,% bound,91,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
53916,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,% bound,55,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
343402,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,% bound,83,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
4447611,[H]C(Cl)=CC(O)(CC)C#C,% bound,44,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
31640,O.C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,% bound,76,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
4607,CC(C)(N)CC1=CC=CC=C1,% bound,17,%,https://www.qsymia.com/pdf/prescribing-information.pdf,Plasma Protein Binding,TRUE,FALSE
31105,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,% bound,20,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
29966,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,% bound,33,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
2279,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,% bound,50,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
3248,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,% bound,12,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
5389,CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O,% bound,99,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
58540,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,% bound,42,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
12041,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,% bound,95,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
21160115,[H]O[Co+]N1\C2=C(C)/C3=N/C(=C\C4=N\C(=C(C)/C5=N[C@@](C)([C@@]1([H])[C@H](CC(=O)N)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@H](O[C@@H]1CO)N1C=NC2=CC(C)=C(C)C=C12)[C@@](C)(CC(N)=O)[C@@H]5CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)/C(C)(C)[C@@H]3CCC(=O)N,% bound,90,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
2424,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,% bound,36,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
5023,CCCC1=NN(C)C2=C1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(C)CC1,% bound,96,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
64435,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1,% bound,70,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
4819,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,% bound,87,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
5566,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,% bound,62,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
10482163,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,% bound,51,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
5273,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,% bound,98,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
5394,OC(C(=O)OC1CC2CCC(C1)[N+]21CCCC1)(C1=CC=CC=C1)C1=CC=CC=C1,% bound,85,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
4575384,CC(C)(C)S(=O)(=O)C[C@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@H](CC1CCCCC1)[C@H](O)[C@H](O)C1CC1,% bound,83,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
4517,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,% bound,98,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
38123,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,% bound,99,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
2669,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,% bound,80,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
70379,CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,% bound,85,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
134802,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,% bound,50,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
5547,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,% bound,93,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
57718,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,% bound,98,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
3357,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC2CCC(C)CC2)C1=O,% bound,99.5,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
4515036,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12,% bound,60,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
35305,NC(N)=NCC1COC2(CCCCC2)O1,% bound,20,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
48085,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,% bound,95,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
3113,FC(F)OC(F)(F)C(F)Cl,% bound,97,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
39831,[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O,% bound,40,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
4589156,CC(C)C[C@H](CN)CC(O)=O,% bound,0,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
5198,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,% bound,96,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
4488,NC1=CC(O)=C(C=C1)C(O)=O,% bound,55,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
59268,[H][C@]1(CNCCO1)[C@@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1,% bound,98,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
4052,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1,% bound,80,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
4308,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,% bound,60,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
2387,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,% bound,45,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
19105,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,% bound,20,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
51354,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,% bound,62,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
3933,NC1=CC(C(O)=O)=C(O)C=C1,% bound,80,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
6571,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,% bound,95,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
54841,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,% bound,99,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
49452,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC,% bound,42,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
2849,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,% bound,90,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
390122,CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1,% bound,94.9,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
1710,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,% bound,90,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
4444486,[H][C@@]12[C@@H](C)C3=C(C(O)=CC=C3)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O,% bound,90,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
2710,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,% bound,90,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
2480,ClCCNC(=O)N(CCCl)N=O,% bound,80,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
4027,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,% bound,12,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
7845223,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,% bound,70,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
4916,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,% bound,40,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
10815,COC1=CC=C(C=C1)C(Cl)=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1,% bound,80,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
3652,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C,% bound,95,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
7455,NCCC1=CC=NN1,% bound,99,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
4447672,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,% bound,40,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
115748,CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O,% bound,99,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
2094,COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1,% bound,98,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
2068,CN1C2=C(NC=N2)C(=O)N(C)C1=O,% bound,40,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
134807,C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)C1=CC=CC2=C1NC[C@H](C)C2,% bound,54,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
5707,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O,% bound,99.7,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
3002,CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=N1)C(C)C,% bound,65,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
3548,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,% bound,80,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
4512,NCCC(O)(P(O)(O)=O)P(O)(O)=O,% bound,54,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
5454,COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1,% bound,30,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
49516,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,% bound,98,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
4514492,C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)C1=C(C)C(N)=NC(=N1)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CN=CN1)C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C,% bound,1,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
2607,OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,% bound,99,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
33418,CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1,% bound,76,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
94568,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(S1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,% bound,93,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
4450907,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,% bound,40,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
153165,CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C,% bound,94,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
2380,CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,% bound,95,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
4563,NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2,% bound,20,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
408154,C[C@H](CN1C=NC2=C1N=CN=C2N)OCP(O)(O)=O,% bound,0.7,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
10482000,NC[C@H]1CC[C@@H](CC1)C(O)=O,% bound,3,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
132758,[H][C@]12[C@@H](C)C(S[C@]3([H])CN[C@@]([H])(C3)C(=O)NC3=CC=CC(=C3)C(O)=O)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O,% bound,95,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
37400,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H],% bound,98.3,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
74139,CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C,% bound,99,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
54755,CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,% bound,40,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
37302,[H][C@@]12N3CC[C@@]11C4=CC(=C(OC)C=C4N(C)[C@@]1([H])[C@](O)([C@H](O)[C@]2(CC)C=CC3)C(N)=O)[C@]1(C[C@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC,% bound,75,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
2631,NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12,% bound,75,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
3179,CCOC1=CC2=C(C=C1)N=C(S2)S(N)(=O)=O,% bound,89,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
3009,CCCC(CCC)C(O)=O,% bound,90,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
54844,CN(C)CCC1=CNC2=CC=C(C[C@H]3COC(=O)N3)C=C12,% bound,25,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
1906,CC(=O)NC1=CC=C(O)C=C1,% bound,25,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
110217,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,% bound,90,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
4447447,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,% bound,25,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
10091,[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)O[C@@]21O,% bound,93,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
2075,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,% bound,95,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
3848682,CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O,% bound,99.9,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
4447624,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O,% bound,20,%,DrugBank,Plasma Protein Binding,TRUE,FALSE
